model,length,position_percent,target_n,success_n,completion_rate_pct,accuracy_completed_pct,raw_exact_completed_pct,accuracy_all_target_missing0_pct,top_unfinished_error
seed_oss_36b,4096,50,50,1,2.0,100.0,100.0,2.0,403_balance:37; 429_tpm_limit:10; 401_invalid_key:2
seed_oss_36b,4096,90,50,0,0.0,,,0.0,403_balance:41; 429_tpm_limit:9
seed_oss_36b,32768,10,50,7,14.0,100.0,100.0,14.0,403_balance:36; 429_tpm_limit:7
seed_oss_36b,32768,50,50,3,6.0,100.0,100.0,6.0,403_balance:40; 429_tpm_limit:7
seed_oss_36b,32768,90,50,6,12.0,83.33,83.33,10.0,403_balance:34; 429_tpm_limit:10
seed_oss_36b,65536,10,50,0,0.0,,,0.0,skipped_by_model_length:50
seed_oss_36b,65536,50,50,0,0.0,,,0.0,skipped_by_model_length:50
seed_oss_36b,65536,90,50,0,0.0,,,0.0,skipped_by_model_length:50
qwen35_122b_a10b,4096,10,50,3,6.0,100.0,100.0,6.0,403_balance:38; 429_tpm_limit:9
qwen35_122b_a10b,4096,50,50,1,2.0,100.0,100.0,2.0,403_balance:45; 429_tpm_limit:4
qwen35_122b_a10b,4096,90,50,3,6.0,100.0,100.0,6.0,403_balance:36; 429_tpm_limit:11
qwen35_122b_a10b,32768,10,50,6,12.0,100.0,100.0,12.0,403_balance:36; 429_tpm_limit:8
qwen35_122b_a10b,32768,50,50,2,4.0,100.0,100.0,4.0,403_balance:39; 429_tpm_limit:7; 401_invalid_key:2
qwen35_122b_a10b,32768,90,50,1,2.0,100.0,100.0,2.0,403_balance:42; 429_tpm_limit:7
qwen35_122b_a10b,65536,10,50,0,0.0,,,0.0,skipped_by_model_length:50
qwen35_122b_a10b,65536,50,50,0,0.0,,,0.0,skipped_by_model_length:50
qwen35_122b_a10b,65536,90,50,0,0.0,,,0.0,skipped_by_model_length:50
