experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
ruler,common_words_extraction,qwen3_8b,siliconflow,Qwen/Qwen3-8B,32768,,,,,,,,,ruler_fallback,111,18,0.0,0.0,,0.7283058351342071,0.0,4.4303530000615865,0.8378378378378378,4096,,,,,,,request_error
ruler,common_words_extraction,qwen3_8b,siliconflow,Qwen/Qwen3-8B,4096,,,,,,,,,ruler_fallback,101,48,0.019801980198019802,0.041666666666666664,,1.3455070524872972,0.0,6.228092500008643,0.5247524752475248,4096,,,,,,,
ruler,common_words_extraction,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,16384,,,,,,,,,ruler_fallback,63,1,0.015873015873015872,1.0,,3.257897012700726,0.0,0.0,0.9841269841269841,32768,,,,,,,request_error
ruler,common_words_extraction,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,32768,,,,,,,,,ruler_fallback,61,0,0.0,,,0.0,0.0,0.0,1.0,32768,,,,,,,request_error
ruler,common_words_extraction,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,4096,,,,,,,,,ruler_fallback,56,0,0.0,,,0.0,0.0,0.0,1.0,32768,,,,,,,request_error
ruler,freq_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,,,,,,,,,ruler_fallback,58,1,0.0,0.0,,0.10214060862099045,0.0,0.0,0.9827586206896551,32768,,,,,,,request_error
ruler,freq_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32768,,,,,,,,,ruler_fallback,65,3,0.0,0.0,,0.4195194492331491,0.0,0.0,0.9538461538461539,32768,,,,,,,request_error
ruler,freq_words_extraction,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,4096,,,,,,,,,ruler_fallback,58,2,0.0,0.16666666666666666,,0.06832720000088087,0.0,0.0,0.9655172413793104,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,,,,,,,,,ruler_fallback,59,5,0.0,0.0,,0.5192703135643091,0.0,2.476236699963922,0.9152542372881356,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32768,,,,,,,,,ruler_fallback,59,3,0.0,0.0,,0.16514837627014997,0.0,0.24919968000613507,0.9491525423728814,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,4096,,,,,,,,,ruler_fallback,62,5,0.0,0.0,,0.38607339677400887,0.0,1.7934442399884607,0.9193548387096774,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,,,,,,,,,ruler_fallback,58,7,0.0,0.0,,0.5673681879335821,0.0,5.1807085450855075,0.8793103448275862,4096,,,,,,,request_error
ruler,freq_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32768,,,,,,,,,ruler_fallback,60,7,0.0,0.0,,1.106296415006121,0.0,9.070719179848673,0.8833333333333333,4096,,,,,,,request_error
ruler,freq_words_extraction,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,4096,,,,,,,,,ruler_fallback,62,9,0.016129032258064516,0.24074074074074073,,11.782847288710576,0.0,7.296730824909183,0.8548387096774194,4096,,,,,,,request_error
ruler,freq_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,,,,,,,,,ruler_fallback,63,4,0.0,0.0,,0.5153069841335454,0.0,2.8206651601474686,0.9365079365079365,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,32768,,,,,,,,,ruler_fallback,59,1,0.0,0.0,,0.15186821525695465,0.0,0.0,0.9830508474576272,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,4096,,,,,,,,,ruler_fallback,57,4,0.0,0.0,,0.128895400006226,0.0,1.1630657800938944,0.9298245614035088,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16384,,,,,,,,,ruler_fallback,106,5,0.0,0.0,,0.16474439528384158,0.0,0.0,0.9528301886792453,32768,,,,,,,request_error
ruler,freq_words_extraction,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32768,,,,,,,,,ruler_fallback,111,10,0.0,0.0,,0.6116202405364429,0.0,5.712939600110985,0.9099099099099099,32768,,,,,,,request_error
