model,n_total,n_eval,n_api_error,coverage,api_error_rate,accuracy_success,accuracy_all_conservative,mean_field_accuracy,mean_field_accuracy_all,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,mean_latency_sec,prompt_tokens_mean,completion_tokens_mean,condition_sort
qwen35_122b_a10b,231,231,0,1.0,0.0,0.606061,0.606061,0.914039,0.914039,0.142857,0.251082,0.0,0.0,4.901884,36457.25974,33.393939,0.0
qwen35_27b,147,147,0,1.0,0.0,0.585034,0.585034,0.907034,0.907034,0.190476,0.22449,0.0,0.0,26.482531,36266.734694,27.102041,0.0
qwen35_9b,219,219,0,1.0,0.0,0.342466,0.342466,0.745439,0.745439,0.319635,0.333333,0.0,0.0,9.607672,36431.09589,34.342466,0.0
qwen35_35b_a3b,231,231,0,1.0,0.0,0.316017,0.316017,0.863608,0.863608,0.203463,0.480519,0.0,0.0,8.878623,36457.25974,33.805195,0.0
seed_oss_36b,231,108,123,0.467532,0.532468,0.462963,0.21645,0.676159,0.316126,0.074074,0.175926,0.0,0.0,16.65334,34609.437229,155.462963,0.0
qwen3_14b_thinking,231,69,162,0.298701,0.701299,0.623188,0.186147,0.899038,0.268544,0.130435,0.246377,0.0,0.0,19.293479,33085.428571,1799.043478,0.0
qwen3_14b_no_thinking,231,225,6,0.974026,0.025974,0.146667,0.142857,0.661559,0.644376,0.488889,0.364444,0.0,0.0,12.102996,35344.04329,32.951111,0.0
qwen3_8b,147,147,0,1.0,0.0,0.020408,0.020408,0.138322,0.138322,0.115646,0.081633,0.0,0.0,12.624182,35241.027211,162.136054,0.0
hunyuan_a13b,147,147,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92517,0.0,10.586617,35233.020408,192.0,0.0
