subset,condition_name,condition_value,model,n_total,n_eval,n_api_error,coverage,api_error_rate,accuracy_success,accuracy_all_conservative,mean_field_accuracy,mean_field_accuracy_all,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,mean_latency_sec,prompt_tokens_mean,completion_tokens_mean
PAC-C_binding_capacity,binding_k/query_count,64/5,qwen3_14b_thinking,8,6,2,0.75,0.25,0.5,0.375,0.9,0.675,0.0,0.5,0.0,0.0,62.070675,34991.125,2106.5
PAC-C_binding_capacity,binding_k/query_count,64/5,seed_oss_36b,8,7,1,0.875,0.125,0.857143,0.75,0.971429,0.85,0.0,0.142857,0.0,0.0,17.194818,36964.875,56.857143
PAC-C_binding_capacity,binding_k/query_count,64/8,qwen35_9b,8,8,0,1.0,0.0,0.875,0.875,0.984375,0.984375,0.0,0.125,0.0,0.0,8.782107,36772.125,71.125
PAC-C_binding_capacity,binding_k/query_count,64/8,qwen35_35b_a3b,8,8,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.314263,36772.125,72.375
PAC-C_binding_capacity,binding_k/query_count,64/8,qwen35_122b_a10b,8,8,0,1.0,0.0,0.875,0.875,0.984375,0.984375,0.125,0.0,0.0,0.0,5.907047,36772.125,72.25
PAC-C_binding_capacity,binding_k/query_count,64/8,qwen3_14b_no_thinking,8,8,0,1.0,0.0,0.0,0.0,0.734375,0.734375,0.625,0.375,0.0,0.0,8.899132,36014.125,70.5
PAC-C_binding_capacity,binding_k/query_count,64/8,qwen3_14b_thinking,8,8,0,1.0,0.0,0.25,0.25,0.859375,0.859375,0.125,0.625,0.0,0.0,64.452578,36010.125,2097.25
PAC-C_binding_capacity,binding_k/query_count,64/8,seed_oss_36b,8,8,0,1.0,0.0,0.75,0.75,0.859375,0.859375,0.0,0.125,0.0,0.0,12.184178,37703.5,91.375
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/16,qwen35_35b_a3b,2,2,0,1.0,0.0,0.0,0.0,0.6667,0.6667,0.0,1.0,0.0,0.0,5.00768,36756.0,31.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/16,qwen35_122b_a10b,2,2,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.350246,36756.0,26.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/16,qwen3_14b_no_thinking,2,2,0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,61.592062,35522.0,31.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/16,qwen3_14b_thinking,2,2,0,1.0,0.0,0.5,0.5,0.83335,0.83335,0.0,0.5,0.0,0.0,64.211583,35518.0,2006.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/16,seed_oss_36b,2,0,2,0.0,1.0,,0.0,,0.0,,,,,0.0,31989.0,
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/32,qwen35_35b_a3b,2,2,0,1.0,0.0,0.0,0.0,0.6667,0.6667,0.0,1.0,0.0,0.0,4.682244,37093.5,32.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/32,qwen35_122b_a10b,2,2,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.45705,37093.5,27.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/32,qwen3_14b_no_thinking,2,2,0,1.0,0.0,0.0,0.0,0.6667,0.6667,0.0,1.0,0.0,0.0,7.342038,36041.0,31.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/32,qwen3_14b_thinking,2,0,2,0.0,1.0,,0.0,,0.0,,,,,0.0,31982.5,
PAC-D_multihop_false_chain,hop_count/false_chain_count,4/32,seed_oss_36b,2,1,1,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,6.414622,35444.5,103.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/16,qwen35_35b_a3b,2,2,0,1.0,0.0,0.0,0.0,0.6667,0.6667,0.0,1.0,0.0,0.0,5.303941,36760.5,31.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/16,qwen35_122b_a10b,2,2,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.776512,36760.5,26.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/16,qwen3_14b_no_thinking,2,2,0,1.0,0.0,0.0,0.0,0.3333,0.3333,0.5,0.5,0.0,0.0,11.866275,35530.5,30.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/16,qwen3_14b_thinking,2,2,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,91.872714,35526.5,2267.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/16,seed_oss_36b,2,1,1,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,7.400274,35262.0,176.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/32,qwen35_35b_a3b,2,2,0,1.0,0.0,0.0,0.0,0.6667,0.6667,0.0,1.0,0.0,0.0,6.23544,37121.5,31.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/32,qwen35_122b_a10b,2,2,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.660624,37121.5,26.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/32,qwen3_14b_no_thinking,2,2,0,1.0,0.0,0.0,0.0,0.6667,0.6667,0.0,1.0,0.0,0.0,9.651027,36072.5,31.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/32,qwen3_14b_thinking,2,1,1,0.5,0.5,0.0,0.0,0.6667,0.33335,0.0,1.0,0.0,0.0,23.939047,34030.0,2008.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,5/32,seed_oss_36b,2,2,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,64.974528,38956.0,71.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/16,qwen35_35b_a3b,2,2,0,1.0,0.0,0.0,0.0,0.6667,0.6667,0.0,1.0,0.0,0.0,4.468476,36773.0,32.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/16,qwen35_122b_a10b,2,2,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.29735,36773.0,26.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/16,qwen3_14b_no_thinking,2,2,0,1.0,0.0,0.0,0.0,0.6667,0.6667,0.0,1.0,0.0,0.0,16.279296,35550.0,30.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/16,qwen3_14b_thinking,2,2,0,1.0,0.0,0.5,0.5,0.83335,0.83335,0.0,0.5,0.0,0.0,36.889342,35546.0,2203.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/16,seed_oss_36b,2,1,1,0.5,0.5,0.0,0.0,0.6667,0.33335,0.0,1.0,0.0,0.0,7.089134,35272.5,195.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/32,qwen35_35b_a3b,2,2,0,1.0,0.0,0.0,0.0,0.6667,0.6667,0.0,1.0,0.0,0.0,9.950202,37104.0,32.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/32,qwen35_122b_a10b,2,2,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.052199,37104.0,28.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/32,qwen3_14b_no_thinking,2,2,0,1.0,0.0,0.0,0.0,0.6667,0.6667,0.0,1.0,0.0,0.0,7.516985,36061.5,31.5
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/32,qwen3_14b_thinking,2,1,1,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,25.650075,34021.5,1918.0
PAC-D_multihop_false_chain,hop_count/false_chain_count,6/32,seed_oss_36b,2,2,0,1.0,0.0,0.5,0.5,0.83335,0.83335,0.0,0.5,0.0,0.0,9.438584,38928.0,33.5
