subset,condition_name,condition_value,model,n_total,n_eval,n_api_error,coverage,api_error_rate,accuracy_success,accuracy_all_conservative,mean_field_accuracy,mean_field_accuracy_all,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,mean_latency_sec,prompt_tokens_mean,completion_tokens_mean
PAC-A_position,position,75,seed_oss_36b,15,3,12,0.2,0.8,0.333333,0.066667,0.333333,0.066667,0.0,0.0,0.0,0.0,13.305615,33061.6,147.0
PAC-A_position,position,90,qwen35_9b,15,15,0,1.0,0.0,0.266667,0.266667,0.822233,0.822233,0.133333,0.6,0.0,0.0,11.144156,36238.6,26.866667
PAC-A_position,position,90,qwen3_8b,15,15,0,1.0,0.0,0.0,0.0,0.066667,0.066667,0.266667,0.0,0.0,0.0,18.28725,35185.2,169.933333
PAC-A_position,position,90,qwen35_27b,15,15,0,1.0,0.0,0.533333,0.533333,0.933333,0.933333,0.133333,0.333333,0.0,0.0,10.912209,36238.6,27.133333
PAC-A_position,position,90,qwen35_35b_a3b,15,15,0,1.0,0.0,0.0,0.0,0.866673,0.866673,0.2,0.8,0.0,0.0,12.678488,36238.6,27.533333
PAC-A_position,position,90,qwen35_122b_a10b,15,15,0,1.0,0.0,0.266667,0.266667,0.822233,0.822233,0.266667,0.466667,0.0,0.0,4.014101,36238.6,27.4
PAC-A_position,position,90,qwen3_14b_no_thinking,15,15,0,1.0,0.0,0.066667,0.066667,0.644447,0.644447,0.533333,0.4,0.0,0.0,8.694812,35185.2,26.466667
PAC-A_position,position,90,qwen3_14b_thinking,15,4,11,0.266667,0.733333,0.25,0.066667,0.666675,0.17778,0.25,0.5,0.0,0.0,12.217338,32836.0,30.0
PAC-A_position,position,90,hunyuan_a13b,15,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.155931,35177.2,192.0
PAC-A_position,position,90,seed_oss_36b,15,7,8,0.466667,0.533333,0.571429,0.266667,0.571429,0.266667,0.0,0.0,0.0,0.0,33.566196,34491.866667,107.428571
PAC-B_interference,decoy_count,0,qwen35_9b,12,12,0,1.0,0.0,0.916667,0.916667,1.0,1.0,0.0,0.083333,0.0,0.0,13.197474,36240.25,27.666667
PAC-B_interference,decoy_count,0,qwen3_8b,12,12,0,1.0,0.0,0.166667,0.166667,0.361108,0.361108,0.0,0.25,0.0,0.0,9.596385,34888.166667,136.833333
PAC-B_interference,decoy_count,0,qwen35_27b,12,12,0,1.0,0.0,0.916667,0.916667,1.0,1.0,0.0,0.083333,0.0,0.0,53.504428,36240.25,27.666667
PAC-B_interference,decoy_count,0,qwen35_35b_a3b,12,12,0,1.0,0.0,0.833333,0.833333,1.0,1.0,0.0,0.166667,0.0,0.0,8.807549,36240.25,27.666667
PAC-B_interference,decoy_count,0,qwen35_122b_a10b,12,12,0,1.0,0.0,0.583333,0.583333,0.94445,0.94445,0.0,0.416667,0.0,0.0,4.31657,36240.25,26.083333
PAC-B_interference,decoy_count,0,qwen3_14b_no_thinking,12,12,0,1.0,0.0,0.75,0.75,1.0,1.0,0.0,0.25,0.0,0.0,30.142308,34888.166667,26.666667
PAC-B_interference,decoy_count,0,qwen3_14b_thinking,12,2,10,0.166667,0.833333,1.0,0.166667,1.0,0.166667,0.0,0.0,0.0,0.0,16.349331,32465.25,1652.5
PAC-B_interference,decoy_count,0,hunyuan_a13b,12,12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916667,0.0,10.822686,34880.166667,192.0
PAC-B_interference,decoy_count,0,seed_oss_36b,12,2,10,0.166667,0.833333,1.0,0.166667,1.0,0.166667,0.0,0.0,0.0,0.0,16.9635,32879.583333,802.5
PAC-B_interference,decoy_count,16,qwen35_9b,12,12,0,1.0,0.0,0.166667,0.166667,0.555567,0.555567,0.833333,0.0,0.0,0.0,7.342191,36242.25,27.083333
PAC-B_interference,decoy_count,16,qwen3_8b,12,12,0,1.0,0.0,0.0,0.0,0.138892,0.138892,0.25,0.0,0.0,0.0,11.160591,34963.0,150.75
PAC-B_interference,decoy_count,16,qwen35_27b,12,12,0,1.0,0.0,0.5,0.5,0.8889,0.8889,0.333333,0.166667,0.0,0.0,70.781727,36242.25,26.75
PAC-B_interference,decoy_count,16,qwen35_35b_a3b,12,12,0,1.0,0.0,0.0,0.0,0.777783,0.777783,0.5,0.5,0.0,0.0,6.842552,36242.25,26.75
PAC-B_interference,decoy_count,16,qwen35_122b_a10b,12,12,0,1.0,0.0,0.416667,0.416667,0.805567,0.805567,0.5,0.083333,0.0,0.0,5.25067,36242.25,26.583333
PAC-B_interference,decoy_count,16,qwen3_14b_no_thinking,12,11,1,0.916667,0.083333,0.090909,0.083333,0.606055,0.55555,0.727273,0.181818,0.0,0.0,7.241349,34714.166667,25.636364
PAC-B_interference,decoy_count,16,qwen3_14b_thinking,12,2,10,0.166667,0.833333,0.0,0.0,0.6667,0.111117,1.0,0.0,0.0,0.0,8.240537,32481.666667,2724.0
PAC-B_interference,decoy_count,16,hunyuan_a13b,12,12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833333,0.0,9.97241,34955.0,192.0
PAC-B_interference,decoy_count,16,seed_oss_36b,12,4,8,0.333333,0.666667,0.25,0.083333,0.666675,0.222225,0.25,0.25,0.0,0.0,8.28464,33779.333333,86.75
PAC-B_interference,decoy_count,32,qwen35_9b,12,12,0,1.0,0.0,0.166667,0.166667,0.666683,0.666683,0.666667,0.166667,0.0,0.0,9.23761,36239.666667,26.666667
PAC-B_interference,decoy_count,32,qwen3_8b,12,12,0,1.0,0.0,0.0,0.0,0.111108,0.111108,0.083333,0.083333,0.0,0.0,12.191104,35032.083333,163.833333
PAC-B_interference,decoy_count,32,qwen35_27b,12,12,0,1.0,0.0,0.333333,0.333333,0.861125,0.861125,0.416667,0.25,0.0,0.0,20.486432,36239.666667,26.666667
PAC-B_interference,decoy_count,32,qwen35_35b_a3b,12,12,0,1.0,0.0,0.166667,0.166667,0.833342,0.833342,0.416667,0.416667,0.0,0.0,6.644542,36239.666667,25.833333
PAC-B_interference,decoy_count,32,qwen35_122b_a10b,12,12,0,1.0,0.0,0.416667,0.416667,0.8889,0.8889,0.25,0.333333,0.0,0.0,5.491359,36239.666667,26.416667
PAC-B_interference,decoy_count,32,qwen3_14b_no_thinking,12,12,0,1.0,0.0,0.083333,0.083333,0.555558,0.555558,0.75,0.166667,0.0,0.0,9.684165,35032.083333,26.0
PAC-B_interference,decoy_count,32,qwen3_14b_thinking,12,0,12,0.0,1.0,,0.0,,0.0,,,,,0.0,31985.083333,
PAC-B_interference,decoy_count,32,hunyuan_a13b,12,12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916667,0.0,9.982879,35024.0,192.0
PAC-B_interference,decoy_count,32,seed_oss_36b,12,6,6,0.5,0.5,0.5,0.25,0.722217,0.361108,0.166667,0.166667,0.0,0.0,12.763066,34676.75,73.166667
